Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
yellow_start_64252008	yellow_character	Yo. I'm [yellow_character].	game/yellow_route.rpy	4	yellow_character "[what]"
yellow_ending_61d60f00	yellow_character	Coming soon!	game/yellow_route.rpy	12	yellow_character "[what]"
yellow_ending_65e80181		THE END	game/yellow_route.rpy	16	"[what]"
red_start_86b3ef26	e	Rahul, a villager boy, is determined to reduce water usage in agriculture.	game/red_route.rpy	30	e "[what]"
red_start_da0e1917	e	He plans to implement sustainable practices like drip irrigation, rainwater harvesting, and efficient crop rotation, aiming to conserve water resources. 	game/red_route.rpy	39	e "[what]"
red_start_7a55e2fd	e	However, he is confused about which method is most appropriate. Can you suggest one for him?	game/red_route.rpy	43	e "[what]"
question1_7813da5b	e	PUZZLE!\nCan you find out the most effective measures for reducing water usage in agriculture?	game/red_route.rpy	60	e "[what]" nointeract
correct1_de3b338e	e	You are correct! Drip irrigation systems deliver water directly to the roots of plants, minimizing water wastage and ensuring efficient use of water resources. This method significantly reduces evaporation and runoff compared to traditional irrigation methods.	game/red_route.rpy	81	e "[what]"
wrong1_b716ceb5	e	It seems your choice didn’t quite fit Rahul’s needs. Review the options again. With each attempt, you'll help Rahul get closer to his dream of a more sustainable future. Keep trying!	game/red_route.rpy	100	e "[what]"
choice1_done_9e588783	e	Rahul, is keen on selecting crops suitable for drought-prone areas.	game/red_route.rpy	121	e "[what]"
choice1_done_b0310774	e	However, he is unsure about which method would be the most suitable.	game/red_route.rpy	122	e "[what]"
choice1_done_2bef32ab	e	Could you provide a recommendation for him?	game/red_route.rpy	123	e "[what]"
question2_bd9168f0	e	PUZZLE!\nCan you find out the crops, best suited for cultivation in drought-prone areas due to its low water requirement?	game/red_route.rpy	133	e "[what]" nointeract
correct2_475c94d6	e	You are right! Okra is known for its ability to grow in hot and dry conditions, making it a suitable choice for drought-prone areas. It requires less water compared to crops like rice, sugarcane, and watermelon.	game/red_route.rpy	151	e "[what]"
wrong2_b716ceb5	e	It seems your choice didn’t quite fit Rahul’s needs. Review the options again. With each attempt, you'll help Rahul get closer to his dream of a more sustainable future. Keep trying!	game/red_route.rpy	165	e "[what]"
choice2_done_ffe58daf	e	Rahul is implementing sustainable methods for improving groundwater recharge.	game/red_route.rpy	179	e "[what]"
choice2_done_63cbb307	e	He is considering building rooftop water harvesting systems to capture rainwater, aiming to enhance water availability .	game/red_route.rpy	180	e "[what]"
choice2_done_4969818c	e	However, he's uncertain about which method would be the best choice. Could you offer him some guidance?	game/red_route.rpy	183	e "[what]"
question3_432972e8	e	PUZZLE!\nCan you figure out the sustainable method best suited for improving groundwater recharge?	game/red_route.rpy	195	e "[what]" nointeract
correct3_f25675f5	e	You are right! Rooftop water harvesting systems collect and store rainwater, which can then be used to recharge groundwater. This practice helps in conserving water and ensuring its availability during dry periods.	game/red_route.rpy	212	e "[what]"
wrong3_b716ceb5	e	It seems your choice didn’t quite fit Rahul’s needs. Review the options again. With each attempt, you'll help Rahul get closer to his dream of a more sustainable future. Keep trying!	game/red_route.rpy	226	e "[what]"
choice3_done_65ddbd40	e	He is passionate about involving local communities in water conservation projects. 	game/red_route.rpy	240	e "[what]"
choice3_done_ba9c2d2a	e	He believes that such efforts can lead to strengthened social cohesion and sustainable water resource management.	game/red_route.rpy	241	e "[what]"
